5501525,male,1984,112351638776591,"Keene, New Hampshire",101881036520836,"Philadelphia, Pennsylvania",NULL
5501536,female,NULL,NULL,NULL,NULL,NULL,NULL
5501551,male,NULL,109697565723356,"Kenmore, New York",109436565740998,"Tulsa, Oklahoma",NULL
5501577,female,1986,108302035857106,"Bloomfield Hills, Michigan",106078429431815,"London, United Kingdom",8
5501687,male,NULL,113076228706869,"Clifton, Virginia",108288992526695,"Orlando, Florida",NULL
5501696,male,NULL,NULL,NULL,NULL,NULL,NULL
5501814,male,1985,105686216130835,"Barnegat, New Jersey",NULL,NULL,9
5501905,male,NULL,112854165392435,"Wellesley, Massachusetts",NULL,NULL,11
5501918,male,NULL,NULL,NULL,NULL,NULL,NULL
5501923,female,1984,103358389705439,"New Hartford, New York",109761179043309,"Liverpool, New York",NULL
5502112,male,NULL,105664369467766,"Brentwood, New Hampshire",110970792260960,"Los Angeles, California",NULL
5502151,male,NULL,NULL,NULL,NULL,NULL,NULL
5502183,male,NULL,105923419438391,"Augusta, Maine",110970792260960,"Los Angeles, California",3
5502432,female,NULL,106580856043139,"Saugerties, New York",112548152092705,"Portland, Oregon",NULL
5502584,female,1986,108122749216779,"Farmington, New York",111723415507516,"Canandaigua (city), New York",25
5502736,female,NULL,112053068807199,"Pacific Grove, California",108424279189115,"New York, New York",2
5502773,female,1985,107408419281868,"Weston, Massachusetts",112406605441665,"Brookline, Massachusetts",25
5502925,female,NULL,110148382341970,"Miami, Florida",110970792260960,"Los Angeles, California",1
5503213,male,NULL,NULL,NULL,NULL,NULL,NULL
5503239,female,NULL,NULL,NULL,108056275889020,"Cambridge, Massachusetts",4
5503272,male,NULL,NULL,NULL,NULL,NULL,NULL
5503384,male,1985,108031375891315,"Belchertown, Massachusetts",104019619634224,"Savannah, Georgia",25
5503389,female,NULL,NULL,NULL,NULL,NULL,NULL
5503460,female,1986,109324835754083,"Buffalo, New York",109324835754083,"Buffalo, New York",2
5503546,female,1933,105998039430784,"North Pole, Alaska",105596609473837,"Worcester, Massachusetts",NULL
5503620,female,NULL,105997179430689,"Ho-Ho-Kus, New Jersey",108424279189115,"New York, New York",NULL
5503721,female,NULL,107607985935950,"New Haven, Vermont",101881036520836,"Philadelphia, Pennsylvania",4
5503779,female,NULL,106224666074625,"Austin, Texas",106078429431815,"London, United Kingdom",NULL
5503800,male,NULL,NULL,NULL,NULL,NULL,NULL
5503868,male,NULL,NULL,NULL,NULL,NULL,NULL
5504136,male,NULL,106325172737569,"Bronx, New York",110620405626129,"Astoria, New York",16
5504157,male,1985,112762132070166,"Bayville, New Jersey",NULL,NULL,12
5504578,female,NULL,104146386288393,"Newton, Massachusetts",110714572282163,"San Diego, California",25
5504677,female,1985,112285508788667,"Somerville, Massachusetts",108109332550034,"Wilmington, Massachusetts",3
5504704,male,NULL,NULL,NULL,112548152092705,"Portland, Oregon",NULL
5504887,male,NULL,NULL,NULL,NULL,NULL,NULL
5504900,female,NULL,NULL,NULL,110648162288620,"Milwaukee, Wisconsin",1
5504984,male,NULL,NULL,NULL,NULL,NULL,NULL
5505172,female,NULL,108255749198502,"Pembroke, Massachusetts",107620962593801,"Quincy, Massachusetts",2
5505201,female,NULL,NULL,NULL,NULL,NULL,NULL
5505431,male,NULL,NULL,NULL,NULL,NULL,NULL
5505441,female,NULL,NULL,NULL,NULL,NULL,NULL
5505465,male,1986,103786666326148,"Newport News, Virginia",110620405626129,"Astoria, New York",NULL
5505511,female,1985,101889586519301,"Dhaka, Bangladesh",108424279189115,"New York, New York",NULL
5505804,female,NULL,NULL,NULL,NULL,NULL,NULL
5505809,female,1986,106325172737569,"Bronx, New York",106408566062300,"Montevideo, Uruguay",NULL
5505919,female,NULL,NULL,NULL,NULL,NULL,NULL
5505920,male,1986,107470242609821,"Randolph, New Jersey",NULL,NULL,25
5506208,male,1986,NULL,NULL,104057089630631,"Hoboken, New Jersey",NULL
5506291,female,1986,108672472490806,"Lewiston, New York",101881036520836,"Philadelphia, Pennsylvania",NULL
