5502773,15932409357,Syracuse University,College
5502773,94642352273,Simmons College Graduate School of Social Work,Graduate School
5502925,112042728822802,Mcarthur High School,High School
5502925,15932409357,Syracuse University,College
5503239,15932409357,Syracuse University,College
5503239,35622951402,Harvard Kennedy School,Graduate School
5503384,106469726055755,Belchertown Junior - Senior High,High School
5503384,15932409357,Syracuse University,College
5503460,104006916302781,Kenmore West Senior High School,High School
5503460,15932409357,Syracuse University,College
5503460,104121179624138,Robert Schuman University,College
5503460,111568078860131,"University at Buffalo, The State University of New York",Graduate School
5503546,113825725294819,Wachusett Regional High School,High School
5503546,15932409357,Syracuse University,College
5503546,105537759479957,University of Massachusetts Dartmouth,Graduate School
5503620,112254928793110,Northern Highlands Regional High,High School
5503620,15932409357,Syracuse University,College
5503721,15932409357,Syracuse University,College
5503721,112394102106163,University of Illinois at Chicago,Graduate School
5503779,108188952547448,Anderson High School,High School
5503779,15932409357,Syracuse University,College
5504136,113713335328560,High school for leadership and public service,High School
5504136,15932409357,Syracuse University,College
5504136,15932409357,Syracuse University,Graduate School
5504157,109465535745767,Central Regional High School,High School
5504157,15932409357,Syracuse University,College
5504578,107758985913693,Newton South High School,High School
5504578,15932409357,Syracuse University,College
5504578,103965619639479,University of Massachusetts Boston,Graduate School
5504677,107993005895725,Matignon High School,High School
5504677,15932409357,Syracuse University,College
5504900,108188662536769,Canton High School,High School
5504900,15932409357,Syracuse University,College
5505172,111800182171595,Notre Dame Academy,High School
5505172,15932409357,Syracuse University,College
5505465,112478805434261,Woodside High School,High School
5505465,15932409357,Syracuse University,College
5505465,111851825501258,NYU,Graduate School
5505511,178794622157895,Hillcrest High School (New York City),High School
5505511,15932409357,Syracuse University,College
5505809,116520845024604,Aquinas High School,High School
5505809,15932409357,Syracuse University,College
5505920,108007665898734,Randolph High School,High School
5505920,15932409357,Syracuse University,College
5506208,15932409357,Syracuse University,College
5506291,110406255654018,Lewiston Porter High School,High School
5506291,15932409357,Syracuse University,College
5506291,106416112728793,Long Island U.,Graduate School
5506482,112093708817175,Poland Junior - Senior High School,High School
5506482,15932409357,Syracuse University,College
5506482,111963768815899,University of Colorado Denver,Graduate School
5507112,110316788991273,North Star Academy College Preperatory High School,High School
5507112,15932409357,Syracuse University,College
5507173,114717475206309,Great Bridge High,High School
5507173,15932409357,Syracuse University,College
5507439,15932409357,Syracuse University,College
5507693,109277449091748,Christ The King Regional High School,High School
5507693,15932409357,Syracuse University,College
5507693,171203159580343,Nassau Community College,College
5507693,113476155329739,Old Dominion University,College
5507693,102798629756606,Norfolk State University,College
5507709,115334475147460,Maple Grove Junior - Senior High School,High School
5507709,15932409357,Syracuse University,College
5507709,109477182405076,State University of New York at Fredonia,College
5507709,112112152139559,Maryland Institute College of Art,College
5507709,332121413586113,"Lorenzo de Medici in Florence, Italy",College
5507709,112267178789210,"University of Maryland, Baltimore County",College
5507720,103765386329565,Wellington C. Mepham High School,High School
5507720,15932409357,Syracuse University,College
5507739,147300841948686,William Nottingham High School,High School
5507739,15932409357,Syracuse University,College
5507739,15932409357,Syracuse University,Graduate School
5507758,108592359172731,La Salle Academy,High School
5507758,15932409357,Syracuse University,College
5507797,15932409357,Syracuse University,College
5508311,110359285652084,East Syracuse- Minoa High School,High School
5508311,15932409357,Syracuse University,College
5508311,172636137574,Rutgers University,Graduate School
5508314,110359285652084,East Syracuse- Minoa High School,High School
5508314,15932409357,Syracuse University,College
5508354,114656205218464,Fairfield High School,High School
5508354,15932409357,Syracuse University,College
5508455,108033185891417,Morristown High School,High School
5508455,15932409357,Syracuse University,College
5508544,106251439414256,"Nogales High School, La Puente, CA",High School
5508544,115217251825520,Nogales High,High School
5508544,15932409357,Syracuse University,College
5509190,112246975469122,Burnt Hills - Ballston Lake Senior High School,High School
5509190,15932409357,Syracuse University,College
5510170,112477555434271,Orchard Park High School,High School
5510170,15932409357,Syracuse University,College
5510170,176050355853077,Syracuse Alumna,College
5510206,114804841869479,Sachem High School North,High School
5510206,106552256048733,State University of New York College of Environmental Science and Forestry,College
5510206,15932409357,Syracuse University,College
5510206,104053009629736,Stony Brook University,Graduate School
5510342,108538865837496,Colts Neck High School,High School
5510342,15932409357,Syracuse University,College
5510342,103132326394338,University of Rochester,Graduate School
5510355,112451295447355,Gloversville High School,High School
5510355,17068777825,Syracuse University in Florence,College
5510355,15932409357,Syracuse University,College
5510355,98508878775,University of Pennsylvania,Graduate School
5510971,108579892506349,Daniel Boone Area Junior - Senior High School,High School
5510971,106309939406590,SUNY-ESF,College
5510971,410388822358429,State University of New York College of Environmental Science and Forestry,College
5510971,15932409357,Syracuse University,Graduate School
5511712,108526942512708,Port Jervis Senior High School,High School
5511712,15932409357,Syracuse University,College
5511712,106552256048733,State University of New York College of Environmental Science and Forestry,College
5511837,106386006063910,Chenango Valley Junior - Senior High School,High School
5511837,15932409357,Syracuse University,College
5511837,112094105475840,Syracuse Alum,College
5511837,106105042754834,Binghamton University,Graduate School
5512169,119166614762458,Syracuse University,College
5512169,111219398914712,Benjamin N. Cardozo School of Law,Graduate School
5512847,112094172149816,Bedford High School,High School
5512847,15932409357,Syracuse University,College
5512847,111480202202376,Seton Hall University,Graduate School
5513183,108126609222306,Wilson High School,High School
5513183,15932409357,Syracuse University,College
5513183,15932409357,Syracuse University,Graduate School
5513531,111818448836854,Half Hollow Hills High School West,High School
5513531,15932409357,Syracuse University,College
5513606,102178366490079,Georgetown High School,High School
5513606,112185508807181,Georgetown Junior - Senior High,High School
5513606,15932409357,Syracuse University,College
5513621,106386229398520,Centreville High School,High School
5513621,113308485350605,Wilbert Tucker Woodson High School,High School
5513621,15932409357,Syracuse University,College
5513887,105987719433382,Duncanville High School,High School
5513887,15932409357,Syracuse University,College
5514257,111879918831783,Webster Schroeder,High School
5514257,15932409357,Syracuse University,College
5514257,111568078860131,"University at Buffalo, The State University of New York",Graduate School
5514465,111843722165718,Belchertown High School,High School
5514465,106038739437124,George Washington University,College
5514465,15932409357,Syracuse University,College
5514465,112444612100264,George Washington University Law School,Graduate School
5514614,1399370640295573,Saint John's School,High School
5514614,1399370640295573,Saint John's School,College
5514785,110375775651646,Frank H. Morrell High School,High School
5514785,15932409357,Syracuse University,College
5514785,61270553970,Fordham University,Graduate School
5515083,108187095869809,Kings Park High School,High School
5515083,15932409357,Syracuse University,College
5515118,111949668823080,Cicero- North Syracuse High School,High School
5515118,15932409357,Syracuse University,College
5515118,104004612970542,Vanderbilt University Divinity School,Graduate School
5515255,108410622517046,Neenah High School,High School
5515255,15932409357,Syracuse University,College
5515321,105555232811496,Murry Bergtraum High School,High School
5515321,15932409357,Syracuse University,College
