Country Name,Date,Total Population,Mobile subscribers,Health: mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Azerbaijan,2000,"""8,048,600""","""420,400""",67,0,655,0.05223,6.48464,4.20469,Asia
Georgia,2000,"""4,418,300""","""194,741""",33,1,692,0.04408,6.53959,3.49651,Asia
Bhutan,2000,"""571,262""",0,89,0,749,0,6.61874,4.48864,Asia
Indonesia,2000,"""213,395,411""","""3,669,327""",54,1,773,0.01719,6.65028,3.98898,Asia
Sri Lanka,2000,"""19,102,000""","""430,202""",23,1,855,0.02252,6.7511,3.13549,Asia
China,2000,"""1,262,645,000""","""85,260,000""",33,2,949,0.06752,6.85541,3.49651,Asia
Philippines,2000,"""77,309,965""","""6,454,359""",40,2,1048,0.08349,6.95464,3.68888,Asia
Kazakhstan,2000,"""14,883,626""","""197,300""",44,1,1229,0.01326,7.11396,3.78419,Asia
Thailand,2000,"""63,155,029""","""3,056,000""",18,4,1943,0.04839,7.57199,2.89037,Asia
Maldives,2000,"""273,236""","""7,638""",47,2,2285,0.02795,7.73412,3.85015,Asia
Malaysia,2000,"""23,414,909""","""5,121,748""",11,21,4006,0.21874,8.29555,2.3979,Asia
"""Korea, Rep.""",2000,"""47,008,000""","""26,816,398""",6,44,11347,0.57046,9.33671,1.79176,Asia
Brunei Darussalam,2000,"""327,036""","""95,000""",9,9,18350,0.29049,9.81738,2.19722,Asia
Singapore,2000,"""4,027,900""","""2,747,400""",4,35,23815,0.68209,10.07807,1.38629,Asia
Japan,2000,"""126,870,000""","""66,784,374""",5,30,37292,0.5264,10.52653,1.60944,Asia
Moldova,2000,"""3,639,588""","""139,000""",26,1,354,0.03819,5.8693,3.2581,Europe
Ukraine,2000,"""49,175,848""","""818,524""",18,1,636,0.01664,6.4552,2.89037,Europe
Albania,2000,"""3,071,856""","""29,791""",29,0,1200,0.0097,7.09008,3.3673,Europe
Belarus,2000,"""10,005,000""","""49,353""",14,2,1273,0.00493,7.14913,2.63906,Europe
Bosnia and Herzegovina,2000,"""3,693,698""","""93,386""",10,1,1491,0.02528,7.3072,2.30259,Europe
Bulgaria,2000,"""8,170,172""","""738,000""",21,5,1579,0.09033,7.36455,3.04452,Europe
Romania,2000,"""22,442,971""","""2,499,000""",27,4,1651,0.11135,7.40914,3.29584,Europe
Russian Federation,2000,"""146,303,000""","""3,263,200""",23,2,1775,0.0223,7.48156,3.13549,Europe
"""Macedonia, FYR""",2000,"""2,009,091""","""115,748""",16,2,1785,0.05761,7.48717,2.77259,Europe
Lithuania,2000,"""3,499,536""","""524,000""",12,6,3267,0.14973,8.09163,2.48491,Europe
Latvia,2000,"""2,372,985""","""401,272""",17,6,3301,0.1691,8.10198,2.83321,Europe
Estonia,2000,"""1,369,515""","""557,000""",13,29,4144,0.40671,8.32942,2.56495,Europe
Turkey,2000,"""63,627,862""","""16,133,405""",43,4,4189,0.25356,8.34022,3.7612,Europe
Poland,2000,"""38,453,757""","""6,747,000""",10,7,4454,0.17546,8.40156,2.30259,Europe
Hungary,2000,"""10,210,971""","""3,076,279""",11,7,4543,0.30127,8.42134,2.3979,Europe
Croatia,2000,"""4,426,000""","""1,033,000""",8,7,4862,0.23339,8.48921,2.07944,Europe
Slovak Republic,2000,"""5,388,720""","""1,243,736""",12,9,5330,0.2308,8.58111,2.48491,Europe
Czech Republic,2000,"""10,272,322""","""4,346,009""",7,10,5725,0.42308,8.6526,1.94591,Europe
Slovenia,2000,"""1,988,925""","""1,215,601""",5,15,10045,0.61118,9.21483,1.60944,Europe
Malta,2000,"""381,363""","""114,444""",8,14,10377,0.30009,9.24735,2.07944,Europe
Greece,2000,"""10,917,482""","""5,932,403""",8,9,11396,0.54339,9.34102,2.07944,Europe
Portugal,2000,"""10,225,836""","""6,664,951""",7,17,11471,0.65178,9.34758,1.94591,Europe
Cyprus,2000,"""943,294""","""218,324""",7,15,13422,0.23145,9.50465,1.94591,Europe
Spain,2000,"""40,263,216""","""24,265,059""",7,14,14414,0.60266,9.57596,1.94591,Europe
Andorra,2000,"""64,634""","""23,543""",5,11,17539,0.36425,9.77218,1.60944,Europe
Italy,2000,"""56,942,108""","""42,246,000""",6,23,19388,0.74191,9.87241,1.79176,Europe
France,2000,"""60,910,922""","""29,052,360""",5,14,21775,0.47696,9.98852,1.60944,Europe
Belgium,2000,"""10,251,250""","""5,629,000""",6,29,22697,0.5491,10.02999,1.79176,Europe
Germany,2000,"""82,211,508""","""48,202,000""",5,30,22946,0.58632,10.0409,1.60944,Europe
Finland,2000,"""5,176,209""","""3,728,625""",4,37,23530,0.72034,10.06603,1.38629,Europe
Austria,2000,"""8,011,566""","""6,117,000""",6,34,23974,0.76352,10.08473,1.79176,Europe
Netherlands,2000,"""15,925,513""","""10,755,000""",6,44,24180,0.67533,10.09328,1.79176,Europe
United Kingdom,2000,"""58,892,514""","""43,452,000""",7,27,25083,0.73782,10.12995,1.94591,Europe
Ireland,2000,"""3,805,174""","""2,461,000""",7,18,25629,0.64675,10.15148,1.94591,Europe
Sweden,2000,"""8,872,109""","""6,372,300""",4,46,27869,0.71824,10.23527,1.38629,Europe
San Marino,2000,"""26,967""","""14,503""",5,49,28698,0.53781,10.26458,1.60944,Europe
Denmark,2000,"""5,339,616""","""3,363,552""",6,39,29980,0.62992,10.30829,1.79176,Europe
Iceland,2000,"""281,205""","""214,896""",4,44,30929,0.7642,10.33945,1.38629,Europe
Switzerland,2000,"""7,184,250""","""4,638,519""",6,47,34787,0.64565,10.457,1.79176,Europe
Norway,2000,"""4,490,967""","""3,224,000""",5,27,37473,0.71789,10.53138,1.60944,Europe
Luxembourg,2000,"""436,300""","""303,274""",5,23,46458,0.6951,10.7463,1.60944,Europe
Liechtenstein,2000,"""32,853""","""10,000""",6,37,75606,0.30439,11.23329,1.79176,Europe
"""Yemen, Rep.""",2000,"""17,723,186""","""32,042""",100,0,544,0.00181,6.29895,4.60517,Middle East
Iraq,2000,"""24,313,641""",0,43,,1063,0,6.96885,3.7612,Middle East
Syrian Arab Republic,2000,"""15,988,534""","""30,000""",23,0,1209,0.00188,7.09755,3.13549,Middle East
"""Iran, Islamic Rep.""",2000,"""65,342,319""","""962,595""",44,1,1550,0.01473,7.34601,3.78419,Middle East
Jordan,2000,"""4,797,500""","""388,949""",29,3,1764,0.08107,7.47534,3.3673,Middle East
Lebanon,2000,"""3,742,329""","""743,000""",29,8,4612,0.19854,8.43642,3.3673,Middle East
Oman,2000,"""2,264,163""","""162,000""",22,4,8775,0.07155,9.07966,3.09104,Middle East
Saudi Arabia,2000,"""20,045,276""","""1,375,881""",26,2,9401,0.06864,9.14857,3.2581,Middle East
Bahrain,2000,"""638,193""","""205,727""",12,6,12489,0.32236,9.4326,2.48491,Middle East
Kuwait,2000,"""1,940,786""","""476,000""",13,7,19434,0.24526,9.87478,2.56495,Middle East
Israel,2000,"""6,289,000""","""4,400,000""",7,20,19859,0.69963,9.89641,1.94591,Middle East
Qatar,2000,"""590,957""","""120,856""",13,5,30053,0.20451,10.31072,2.56495,Middle East
United Arab Emirates,2000,"""3,033,491""","""1,428,115""",12,24,34395,0.47078,10.44567,2.48491,Middle East
Papua New Guinea,2000,"""5,378,824""","""8,560""",74,1,655,0.00159,6.48464,4.30407,Oceania
Kiribati,2000,"""84,010""",300,65,2,812,0.00357,6.6995,4.17439,Oceania
Solomon Islands,2000,"""408,732""","""1,151""",35,0,1065,0.00282,6.97073,3.55535,Oceania
Samoa,2000,"""176,549""","""2,500""",23,1,1391,0.01416,7.23778,3.13549,Oceania
Vanuatu,2000,"""185,074""",365,23,2,1470,0.00197,7.29302,3.13549,Oceania
Tonga,2000,"""97,935""",180,20,2,1926,0.00184,7.5632,2.99573,Oceania
Fiji,2000,"""811,718""","""55,057""",23,1,2075,0.06783,7.63772,3.13549,Oceania
Marshall Islands,2000,"""52,145""",447,37,2,2127,0.00857,7.66247,3.61092,Oceania
"""Micronesia, Fed. Sts.""",2000,"""107,103""",0,49,4,2181,0,7.68754,3.89182,Oceania
New Zealand,2000,"""3,857,800""","""1,542,000""",7,47,13375,0.39971,9.50114,1.94591,Oceania
Australia,2000,"""19,153,000""","""8,562,000""",6,47,21766,0.44703,9.9881,1.79176,Oceania
Haiti,2000,"""8,645,371""","""55,000""",109,0,424,0.00636,6.04973,4.69135,The Americas
Nicaragua,2000,"""5,073,704""","""90,294""",43,1,776,0.0178,6.65415,3.7612,The Americas
Guyana,2000,"""733,101""","""39,830""",47,7,972,0.05433,6.87936,3.85015,The Americas
Bolivia,2000,"""8,307,248""","""582,620""",82,1,1011,0.07013,6.9187,4.40672,The Americas
Honduras,2000,"""6,218,151""","""155,271""",37,1,1143,0.02497,7.04141,3.61092,The Americas
Ecuador,2000,"""12,345,023""","""482,213""",33,1,1291,0.03906,7.16317,3.49651,The Americas
Paraguay,2000,"""5,343,539""","""820,810""",35,1,1323,0.15361,7.18766,3.55535,The Americas
Guatemala,2000,"""11,237,101""","""856,831""",49,1,1717,0.07625,7.44833,3.89182,The Americas
Suriname,2000,"""466,846""","""41,048""",40,3,1911,0.08793,7.55538,3.68888,The Americas
Peru,2000,"""25,861,887""","""1,273,857""",41,3,2061,0.04926,7.63095,3.71357,The Americas
El Salvador,2000,"""5,940,305""","""743,628""",34,1,2211,0.12518,7.7012,3.52636,The Americas
Colombia,2000,"""39,764,166""","""2,256,801""",27,2,2524,0.05675,7.8336,3.29584,The Americas
Cuba,2000,"""11,104,313""","""6,536""",9,1,2753,0.00059,7.92045,2.19722,The Americas
Dominican Republic,2000,"""8,591,967""","""705,431""",41,4,2793,0.0821,7.93487,3.71357,The Americas
Belize,2000,"""249,800""","""16,812""",27,6,3331,0.0673,8.11103,3.29584,The Americas
Jamaica,2000,"""2,589,389""","""366,952""",30,3,3479,0.14171,8.1545,3.4012,The Americas
St. Vincent and the Grenadines,2000,"""107,891""","""2,361""",22,3,3684,0.02188,8.21175,3.09104,The Americas
