Country Name,Date,Total Population,Mobile subscribers,Health: mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Romania,2010,"""21,438,001""","""24,640,000""",14,40,7539,1.14936,8.92784,2.63906,Europe
Turkey,2010,"""72,752,325""","""61,769,635""",18,40,10050,0.84904,9.21533,2.89037,Europe
Russian Federation,2010,"""141,920,000""","""237,689,224""",12,43,10481,1.67481,9.25732,2.48491,Europe
Latvia,2010,"""2,239,008""","""2,306,100""",10,72,10723,1.02997,9.28015,2.30259,Europe
Lithuania,2010,"""3,286,820""","""4,890,979""",7,63,11046,1.48806,9.30982,1.94591,Europe
Poland,2010,"""38,183,683""","""46,952,111""",6,62,12303,1.22964,9.4176,1.79176,Europe
Hungary,2010,"""10,000,023""","""12,011,823""",6,65,12863,1.20118,9.46211,1.79176,Europe
Croatia,2010,"""4,418,000""","""6,362,106""",6,60,13774,1.44004,9.53054,1.79176,Europe
Estonia,2010,"""1,340,161""","""1,652,809""",5,74,14045,1.23329,9.55002,1.60944,Europe
Slovak Republic,2010,"""5,430,099""","""5,925,012""",8,80,16036,1.09114,9.68259,2.07944,Europe
Czech Republic,2010,"""10,519,792""","""14,392,964""",4,69,18789,1.36818,9.84103,1.38629,Europe
Malta,2010,"""415,995""","""455,414""",6,63,19625,1.09476,9.88456,1.79176,Europe
Portugal,2010,"""10,637,346""","""15,194,897""",4,51,21358,1.42845,9.96918,1.38629,Europe
Slovenia,2010,"""2,048,583""","""2,121,950""",3,69,22898,1.03581,10.0388,1.09861,Europe
Greece,2010,"""11,315,508""","""12,292,716""",4,45,26433,1.08636,10.18237,1.38629,Europe
Cyprus,2010,"""1,103,647""","""1,034,071""",4,53,28779,0.93696,10.2674,1.38629,Europe
Spain,2010,"""46,070,971""","""51,601,028""",5,66,30026,1.12003,10.30982,1.60944,Europe
Italy,2010,"""60,483,385""","""90,605,000""",4,54,33788,1.49801,10.42786,1.38629,Europe
United Kingdom,2010,"""62,231,336""","""81,115,492""",5,85,36186,1.30345,10.49643,1.60944,Europe
France,2010,"""65,075,569""","""63,200,000""",4,77,39170,0.97118,10.57567,1.38629,Europe
Iceland,2010,"""318,041""","""341,077""",2,96,39463,1.07243,10.58312,0.69315,Europe
Germany,2010,"""81,776,930""","""104,560,000""",4,83,39852,1.2786,10.59293,1.38629,Europe
Belgium,2010,"""10,895,785""","""12,154,041""",4,74,42833,1.11548,10.66506,1.38629,Europe
Finland,2010,"""5,363,352""","""8,390,000""",3,87,44091,1.56432,10.69401,1.09861,Europe
Austria,2010,"""8,389,771""","""12,241,000""",4,73,44885,1.45904,10.71186,1.38629,Europe
Ireland,2010,"""4,474,356""","""4,701,474""",4,70,45873,1.05076,10.73363,1.38629,Europe
Netherlands,2010,"""16,615,394""","""19,179,000""",4,91,46597,1.15429,10.74929,1.38629,Europe
Sweden,2010,"""9,378,126""","""10,885,406""",3,90,49257,1.16072,10.80481,1.09861,Europe
Denmark,2010,"""5,547,683""","""6,922,468""",4,89,56278,1.24781,10.93806,1.38629,Europe
Switzerland,2010,"""7,826,153""","""9,527,000""",5,82,67644,1.21733,11.12201,1.60944,Europe
Norway,2010,"""4,889,252""","""5,648,673""",3,93,85443,1.15532,11.3556,1.09861,Europe
Luxembourg,2010,"""506,953""","""727,000""",3,90,104512,1.43406,11.55706,1.09861,Europe
"""Yemen, Rep.""",2010,"""24,052,514""","""11,085,000""",77,12,1291,0.46087,7.16317,4.34381,Middle East
Iraq,2010,"""32,030,823""","""24,000,000""",39,2,2532,0.74928,7.83676,3.66356,Middle East
Syrian Arab Republic,2010,"""20,446,609""","""11,799,212""",16,21,2893,0.57707,7.97005,2.77259,Middle East
Jordan,2010,"""6,047,000""","""6,620,000""",22,39,4370,1.09476,8.38252,3.09104,Middle East
Lebanon,2010,"""4,227,597""","""2,874,766""",22,31,9227,0.68,9.12989,3.09104,Middle East
Saudi Arabia,2010,"""27,448,086""","""51,564,375""",18,41,16423,1.87861,9.70644,2.89037,Middle East
Bahrain,2010,"""1,261,835""","""1,567,000""",10,55,18184,1.24184,9.8083,2.30259,Middle East
Oman,2010,"""2,782,435""","""4,606,133""",9,62,20791,1.65543,9.94228,2.19722,Middle East
Israel,2010,"""7,623,600""","""9,875,000""",5,65,28522,1.29532,10.25843,1.60944,Middle East
United Arab Emirates,2010,"""7,511,690""","""10,926,019""",7,78,39625,1.45454,10.58722,1.94591,Middle East
Kuwait,2010,"""2,736,732""","""4,400,000""",11,38,45437,1.60776,10.72408,2.3979,Middle East
Qatar,2010,"""1,758,793""","""2,329,255""",8,82,72398,1.32435,11.18993,2.07944,Middle East
Solomon Islands,2010,"""538,148""","""30,000""",27,5,1261,0.05575,7.13966,3.29584,Oceania
Papua New Guinea,2010,"""6,858,266""","""1,909,078""",61,1,1382,0.27836,7.23129,4.11087,Oceania
Kiribati,2010,"""99,546""","""10,000""",49,9,1519,0.10046,7.32581,3.89182,Oceania
"""Micronesia, Fed. Sts.""",2010,"""111,064""","""27,518""",42,20,2678,0.24777,7.89283,3.73767,Oceania
Vanuatu,2010,"""239,651""","""285,300""",14,8,2875,1.19048,7.96381,2.63906,Oceania
Marshall Islands,2010,"""54,038""","""3,800""",26,,3015,0.07032,8.01136,3.2581,Oceania
Samoa,2010,"""183,081""","""167,400""",20,7,3249,0.91435,8.0861,2.99573,Oceania
Tonga,2010,"""104,058""","""54,300""",16,12,3435,0.52182,8.14177,2.77259,Oceania
Fiji,2010,"""860,623""","""697,920""",17,15,3687,0.81095,8.21257,2.83321,Oceania
New Zealand,2010,"""4,367,800""","""5,020,000""",6,83,32620,1.14932,10.39268,1.79176,Oceania
Australia,2010,"""22,299,800""","""22,500,000""",5,76,50746,1.00898,10.83459,1.60944,Oceania
Haiti,2010,"""9,993,247""","""4,000,000""",165,8,664,0.40027,6.49828,5.10595,The Americas
Nicaragua,2010,"""5,788,163""","""3,770,510""",27,10,1139,0.65142,7.03791,3.29584,The Americas
Bolivia,2010,"""9,929,849""","""7,179,293""",54,20,1979,0.723,7.59035,3.98898,The Americas
Honduras,2010,"""7,600,524""","""9,505,071""",24,11,2019,1.25058,7.61036,3.17805,The Americas
Paraguay,2010,"""6,454,548""","""5,920,858""",25,20,2840,0.91732,7.95156,3.21888,The Americas
Guatemala,2010,"""14,388,929""","""18,067,970""",32,11,2873,1.25569,7.96311,3.46574,The Americas
Guyana,2010,"""754,493""","""555,397""",30,30,2994,0.73612,8.00437,3.4012,The Americas
El Salvador,2010,"""6,192,993""","""7,700,336""",16,16,3460,1.24339,8.14902,2.77259,The Americas
Ecuador,2010,"""14,464,739""","""14,780,730""",20,29,4008,1.02185,8.29605,2.99573,The Americas
Belize,2010,"""344,700""","""194,201""",17,13,4064,0.56339,8.30992,2.83321,The Americas
Jamaica,2010,"""2,702,300""","""3,181,995""",24,26,5133,1.17751,8.54345,3.17805,The Americas
Dominican Republic,2010,"""9,927,320""","""8,892,783""",27,40,5195,0.89579,8.55545,3.29584,The Americas
Peru,2010,"""29,076,512""","""29,115,149""",19,34,5292,1.00133,8.57395,2.94444,The Americas
St. Vincent and the Grenadines,2010,"""109,333""","""131,791""",21,,6172,1.20541,8.72778,3.04452,The Americas
Colombia,2010,"""46,294,841""","""44,477,653""",22,37,6238,0.96075,8.73841,3.09104,The Americas
St. Lucia,2010,"""174,000""","""199,000""",16,40,6890,1.14368,8.83783,2.77259,The Americas
Dominica,2010,"""67,757""","""105,567""",12,47,6964,1.55802,8.84851,2.48491,The Americas
Grenada,2010,"""104,487""","""121,946""",11,33,7500,1.16709,8.92266,2.3979,The Americas
Panama,2010,"""3,516,820""","""6,496,155""",20,43,7614,1.84717,8.93774,2.99573,The Americas
Costa Rica,2010,"""4,658,887""","""3,035,007""",10,37,7774,0.65144,8.95854,2.30259,The Americas
Suriname,2010,"""524,636""","""890,000""",31,32,8292,1.69641,9.02305,3.43399,The Americas
Argentina,2010,"""40,412,376""","""57,300,000""",14,36,9124,1.41788,9.11866,2.63906,The Americas
Mexico,2010,"""113,423,047""","""91,362,753""",17,31,9133,0.8055,9.11965,2.83321,The Americas
Brazil,2010,"""194,946,470""","""202,944,033""",19,41,10993,1.04102,9.30501,2.94444,The Americas
Uruguay,2010,"""3,356,584""","""4,437,158""",11,48,11742,1.32193,9.37093,2.3979,The Americas
Chile,2010,"""17,113,688""","""19,852,242""",9,45,12640,1.16002,9.44462,2.19722,The Americas
St. Kitts and Nevis,2010,"""52,402""","""80,000""",8,76,12847,1.52666,9.46087,2.07944,The Americas
Antigua and Barbuda,2010,"""88,710""","""167,970""",8,80,13006,1.89347,9.47317,2.07944,The Americas
"""Venezuela, RB""",2010,"""28,834,000""","""27,879,924""",18,36,13658,0.96691,9.52208,2.89037,The Americas
Barbados,2010,"""273,331""","""350,061""",20,70,15035,1.28072,9.61814,2.99573,The Americas
Trinidad and Tobago,2010,"""1,341,465""","""1,894,240""",27,49,15614,1.41207,9.65592,3.29584,The Americas
"""Bahamas, The""",2010,"""342,877""","""428,377""",16,43,22665,1.24936,10.02858,2.77259,The Americas
Canada,2010,"""34,126,181""","""24,037,372""",6,81,46212,0.70437,10.74099,1.79176,The Americas
United States,2010,"""309,349,689""","""278,900,000""",8,74,46702,0.90157,10.75154,2.07944,The Americas
